Date,Open,High,Low,Close*,Adj Close**,Volume
"Sep 27, 2022","13,785.00","13,834.00","13,679.00","13,721.00","13,721.00","25,131"
"Sep 26, 2022","13,664.00","13,854.00","13,650.00","13,848.00","13,848.00","9,105"
"Sep 23, 2022","14,330.00","14,330.00","13,943.00","13,993.00","13,993.00","1,269"
"Sep 22, 2022","14,391.00","14,575.00","14,391.00","14,371.00","14,371.00","5,032"
"Sep 21, 2022","14,668.00","14,709.00","14,602.00","14,649.00","14,649.00","13,351"
"Sep 20, 2022","14,900.00","14,904.00","14,706.00","14,670.00","14,670.00","3,200"
"Sep 19, 2022","14,649.00","14,690.00","14,647.50","14,824.00","14,824.00","10,351"
"Sep 16, 2022","14,723.00","14,803.00","14,714.00","14,759.00","14,759.00","1,596"
"Sep 15, 2022","14,925.00","14,925.00","14,770.00","14,806.00","14,806.00","23,457"
"Sep 14, 2022","14,900.00","14,900.00","14,757.00","14,824.00","14,824.00","80,377"
"Sep 13, 2022","15,061.00","15,102.00","14,959.00","14,977.00","14,977.00","3,941"
"Sep 12, 2022","14,919.00","15,068.00","14,919.00","15,100.00","15,100.00","2,027"
"Sep 09, 2022","15,018.00","15,018.00","14,841.00","14,892.00","14,892.00","4,806"
"Sep 08, 2022","14,562.00","14,745.00","14,541.00","14,720.00","14,720.00","5,040"
"Sep 07, 2022","14,625.00","14,662.00","14,486.00","14,560.00","14,560.00","13,720"
"Sep 06, 2022","14,502.00","14,704.00","14,502.00","14,630.00","14,630.00","4,809"
"Sep 05, 2022","14,385.00","14,511.00","14,385.00","14,492.00","14,492.00","2,584"
"Sep 02, 2022","14,558.00","14,599.00","14,445.00","14,587.00","14,587.00","4,674"
"Sep 01, 2022","13,958.00","14,402.00","13,958.00","14,321.00","14,321.00","37,921"
"Aug 31, 2022","14,506.00","14,575.00","14,419.00","14,581.00","14,581.00","3,609"
"Aug 30, 2022","14,843.00","14,850.00","14,628.00","14,588.00","14,588.00","70,056"
"Aug 29, 2022","14,620.00","14,728.00","14,620.00","14,676.00","14,676.00","7,667"
"Aug 26, 2022","15,012.00","15,012.00","14,904.00","14,880.00","14,880.00","3,573"
"Aug 25, 2022","15,159.00","15,176.00","14,884.00","14,936.00","14,936.00","55,420"
"Aug 24, 2022","15,051.00","15,081.00","14,962.00","15,009.00","15,009.00","20,984"
"Aug 23, 2022","15,090.00","15,178.00","15,066.00","15,094.00","15,094.00","11,486"
"Aug 22, 2022","15,240.00","15,281.00","15,104.00","15,149.00","15,149.00","3,234"
"Aug 19, 2022","15,219.00","15,334.00","15,116.00","15,251.00","15,251.00","3,560"
"Aug 18, 2022","15,160.00","15,241.00","15,160.00","15,215.00","15,215.00","1,399"
"Aug 17, 2022","15,096.00","15,165.00","15,080.00","15,147.00","15,147.00","4,738"
"Aug 16, 2022","15,006.00","15,059.00","14,912.00","15,024.00","15,024.00","6,208"
"Aug 15, 2022","14,820.00","14,935.00","14,813.00","14,918.00","14,918.00","115,399"
"Aug 12, 2022","14,883.00","14,884.00","14,749.00","14,768.00","14,768.00","6,407"
"Aug 11, 2022","14,858.00","14,915.00","14,739.00","14,837.00","14,837.00","16,129"
"Aug 10, 2022","14,997.00","15,044.00","14,900.00","14,816.00","14,816.00","1,148"
"Aug 08, 2022","15,132.00","15,132.00","15,003.00","15,058.00","15,058.00","8,271"
